Product Title,Product  Price,Product Description,Product Url
Dell Vostro 15,$488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/531
Acer Spin 5,$564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/532
Acer Aspire A515-51-5654,$679.00,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",https://webscraper.io/test-sites/e-commerce/static/product/533
Dell Inspiron 15,$679.00,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/534
Asus VivoBook S14,$729.00,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/535
Asus ROG STRIX GL553VD-DM256,$799.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",https://webscraper.io/test-sites/e-commerce/static/product/536
Acer Nitro 5 AN515-51,$809.00,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/537
Asus ROG STRIX GL553VD-DM256,$899.00,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/538
Lenovo ThinkPad L570,$999.00,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/539
Lenovo Legion Y520-15IKBM,$1149.00,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",https://webscraper.io/test-sites/e-commerce/static/product/540
Lenovo Legion Y720,$1399.00,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",https://webscraper.io/test-sites/e-commerce/static/product/541
Asus ROG Strix GL702ZC-GC154T,$1769.00,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/542
Asus ROG Strix GL702ZC-GC209T,$1769.00,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/543
Asus ROG Strix SCAR Edition GL503VM-ED115T,$1799.00,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/544
Asus VivoBook X441NA-GA190,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",https://webscraper.io/test-sites/e-commerce/static/product/545
Prestigio SmartBook 133S Dark Grey,$299.00,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",https://webscraper.io/test-sites/e-commerce/static/product/546
Prestigio SmartBook 133S Gold,$299.00,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",https://webscraper.io/test-sites/e-commerce/static/product/547
Lenovo V110-15IAP,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/548
Lenovo V110-15IAP,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",https://webscraper.io/test-sites/e-commerce/static/product/549
Hewlett Packard 250 G6 Dark Ash Silver,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",https://webscraper.io/test-sites/e-commerce/static/product/550
Acer Aspire 3 A315-31 Black,$372.70,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/551
Acer Aspire A315-31-C33J,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",https://webscraper.io/test-sites/e-commerce/static/product/552
Acer Aspire ES1-572 Black,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/static/product/553
Acer Aspire 3 A315-31 Black,$391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/554
Acer Aspire 3 A315-21,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/static/product/555
Asus VivoBook E502NA-GO022T Dark Blue,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",https://webscraper.io/test-sites/e-commerce/static/product/556
Lenovo ThinkPad E31-80,$404.23,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/557
Acer Aspire 3 A315-31 Black,$408.98,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/558
Lenovo V110-15ISK,$409.63,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/559
Acer Aspire ES1-732 Black,$410.46,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/560
Asus VivoBook 15 X540NA-GQ026T,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",https://webscraper.io/test-sites/e-commerce/static/product/561
Asus EeeBook R416NA-FA014T,$433.30,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/562
Acer Aspire 3 A315-51,$436.29,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/563
Acer Aspire ES1-572 Black,$436.29,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/564
Acer Extensa 15 (2540) Black,$439.73,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/565
Acer Aspire ES1-572 Black,$454.62,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/566
Lenovo V110-15ISK,$454.73,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/567
Acer Aspire A315-51-33TG,$457.38,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",https://webscraper.io/test-sites/e-commerce/static/product/568
Lenovo V110-15IKB,$465.95,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",https://webscraper.io/test-sites/e-commerce/static/product/569
Asus VivoBook 15 X540UA-DM260 Chocolate Black,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",https://webscraper.io/test-sites/e-commerce/static/product/570
Acer Aspire ES1-572 Black,$469.10,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/571
Lenovo V510 Black,$484.23,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/572
Acer Aspire ES1-572 Black,$485.90,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/static/product/573
Lenovo V510 Black,$487.80,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/574
Acer Swift 1 SF113-31 Silver,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/575
Acer Aspire 3 A315-51 Black,$494.71,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/576
Dell Vostro 15 (3568) Red,$497.17,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",https://webscraper.io/test-sites/e-commerce/static/product/577
Lenovo V510 Black,$498.23,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/578
Lenovo ThinkPad L460,$1096.02,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/579
Dell Inspiron 15 (7567) Black,$1098.42,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/580
MSI GL72M 7RDX,$1099.00,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/581
MSI GL72M 7RDX,$1099.00,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/582
Asus ROG Strix GL553VD-DM535T,$1101.83,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",https://webscraper.io/test-sites/e-commerce/static/product/583
Dell Latitude 5280,$1102.66,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/584
Dell Latitude 5480,$1110.14,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/585
Lenovo Legion Y520-15IKBM,$1112.91,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/586
Toshiba Portege Z30-C-16J Grey,$1114.55,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/587
Acer Predator Helios 300 (PH317-51),$1123.87,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/588
Acer Aspire 7 A715-71G,$1123.87,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/589
Dell Inspiron 17 2in1 (7779) Silver,$1124.20,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/590
Dell Latitude 5480,$1133.82,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/591
Lenovo Legion Y520,$1133.91,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/592
Asus AsusPro Advanced BU401LA-FA271G Dark Grey,$1139.54,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",https://webscraper.io/test-sites/e-commerce/static/product/593
Acer Nitro 5 AN515-51,$1140.62,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/594
Dell Latitude 5480,$1143.40,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/595
Dell Inspiron 15 (7567) Black,$1144.20,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/596
Dell Latitude 5580,$1144.40,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/597
MSI GP62M 7RDX Leopard,$1149.00,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/598
Lenovo Yoga 720 Grey,$1149.73,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/599
Toshiba Portege Z30-C-16L Grey,$1154.04,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/600
Acer TravelMate P645-S-511A Black,$1170.10,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/601
Dell Latitude 5580,$1178.19,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/602
MSI GS63 7RD Stealth,$1179.00,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/603
Dell Latitude 5480,$1187.88,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/604
Acer Predator Helios 300 (PH317-51),$1187.98,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/605
MSI GL62M 7REX,$1199.00,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/606
MSI GL62M 7REX2,$1199.00,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/607
Lenovo Yoga 910 Grey,$1199.73,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/608
Toshiba Portege X30-D-10J Black/Blue,$1203.41,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/609
Lenovo IdeaPad Miix 510 Platinum Silver,$1212.16,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/610
Acer Predator Helios 300 (PH317-51),$1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/611
Asus VivoBook Pro 15 N580VN-FI006T Gold Metal,$1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/612
Dell Latitude 5480,$1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/static/product/613
Asus ZenBook UX530UX-FY040T Blue,$1239.20,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/614
Asus ROG Strix GL753VE-GC096T,$1259.00,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/615
"Apple MacBook Air 13""",$1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",https://webscraper.io/test-sites/e-commerce/static/product/616
Dell Latitude 5480,$1271.06,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/617
Hewlett Packard Spectre 13-v106na Dark Ash Silver,$1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/618
Toshiba Portege Z30-C-16K Grey,$1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/619
MSI GL62VR 7RFX,$1299.00,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/620
Dell Latitude 5480,$1310.39,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/621
Hewlett Packard ProBook 640 G3,$1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/622
"Apple MacBook Pro 13"" Space Gray",$1333.00,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",https://webscraper.io/test-sites/e-commerce/static/product/623
Dell Latitude 5580,$1337.28,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/624
Dell Latitude 5480,$1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",https://webscraper.io/test-sites/e-commerce/static/product/625
Dell Latitude 5580,$1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",https://webscraper.io/test-sites/e-commerce/static/product/626
"Apple MacBook Air 13""",$1347.78,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",https://webscraper.io/test-sites/e-commerce/static/product/627
Lenovo ThinkPad T470,$1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/628
Lenovo ThinkPad Yoga 370 Black,$1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/629
Toshiba Portege X20W-D-10V Black/Blue,$1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/static/product/630
Asus ASUSPRO B9440UA-GV0279R Gray,$1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/631
Asus ROG Strix GL702VM-GC146T,$1399.00,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/static/product/632
